Hotline,Column Name,Column Group,IVRS LEVEL
1830830,ROOM_RESERVATION,,2
1830830,PARK_TICKETS,,2
1830830,DINING_RESERVATION,,2
1830830,MAGIC_ACCESS_MEMBERS,,2
1830830,GENERAL_INFORMATION,,2
1830830,NEWRESERVATION,ROOM_RESERVATION,3
1830830,RESERVATION_AMENDMENT,ROOM_RESERVATION,3
1830830,RESERVATION_CANCELLATION,ROOM_RESERVATION,3
1830830,_1DAY2DAY_TICKET_PRICE,PARK_TICKETS,3
1830830,PARK_TICKETS_ENQUIRY,PARK_TICKETS,3
1830830,MAGIC_ACCESS_RENEWAL,MAGIC_ACCESS_MEMBERS,3
1830830,BENEFITS,MAGIC_ACCESS_MEMBERS,3
1830830,EVENT_AND_ACTIVITY,MAGIC_ACCESS_MEMBERS,3
1830830,PARK_HOURS,GENERAL_INFORMATION,3
1830830,PARK_LUGGAGE_VALET_SERVICES_AND_LOCKER,GENERAL_INFORMATION,3
1830830,STROLLER_RENTAL,GENERAL_INFORMATION,3
1830830,WHEEL_CHAIR_RENTAL,GENERAL_INFORMATION,3
1830830,ILRC,GENERAL_INFORMATION,3
1830830,RCC_CAN,ROOM_RESERVATION,3
1830830,RCC_ENG,ROOM_RESERVATION,3
1830830,RCC_PUT,ROOM_RESERVATION,3
1830830,AMENDMENT_OFFICIAL_CHANNEL,RESERVATION_AMENDMENT,4
1830830,AMENDMENT_OTHERS_CHANNEL,RESERVATION_AMENDMENT,4
1830830,CANCELLATION_OFFICIAL_CHANNEL,RESERVATION_CANCELLATION,4
1830830,CANCELLATION_OTHERS_CHANNEL,RESERVATION_CANCELLATION,4
1830830,OPENINGTIME,ILRC,4
1830830,FACILITIES,ILRC,4
1830830,TRANSPORTATION,ILRC,4
